Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS01_100_03.json,3.49931,0.97663,27,12
base\CLASS01_100_03.json,3.4056,0.976607,27,13
base\CLASS01_100_03.json,3.58374,0.977022,27,14
base\CLASS01_100_03.json,3.34107,0.976859,27,15
base\CLASS01_100_03.json,3.59032,0.97723,27,16
base\CLASS01_100_03.json,3.33213,0.92805,28,17
base\CLASS01_100_03.json,3.29342,0.977156,27,18
base\CLASS01_100_03.json,3.27385,0.976904,27,19
base\CLASS01_100_03.json,3.15942,0.976852,27,20
base\CLASS01_100_03.json,3.1891,0.976904,27,21
base\CLASS01_100_03.json,3.37052,0.977363,27,22
base\CLASS01_100_03.json,3.35157,0.976919,27,23
base\CLASS01_100_03.json,3.39908,0.978459,27,24
base\CLASS01_100_03.json,3.36846,0.976867,27,25
base\CLASS01_100_03.json,3.30297,0.977007,27,26
base\CLASS01_100_03.json,3.66013,0.976748,27,27
base\CLASS01_100_03.json,3.31846,0.976889,27,28
base\CLASS01_100_03.json,3.33694,0.9776,27,29
base\CLASS01_100_05.json,4.00246,0.949635,31,0
base\CLASS01_100_05.json,3.87548,0.949803,31,1
base\CLASS01_100_05.json,4.03512,0.94881,31,2
base\CLASS01_100_05.json,3.83187,0.94839,31,3
base\CLASS01_100_05.json,3.58213,0.949642,31,4
base\CLASS01_100_05.json,3.8346,0.949448,31,5
base\CLASS01_100_05.json,3.82745,0.948468,31,6
base\CLASS01_100_05.json,3.899,0.948881,31,7
base\CLASS01_100_05.json,3.86524,0.951771,31,8
base\CLASS01_100_05.json,3.94585,0.948758,31,9
base\CLASS01_100_05.json,3.76482,0.950829,31,10
base\CLASS01_100_05.json,3.79163,0.949042,31,11
base\CLASS01_100_05.json,3.67076,0.948616,31,12
base\CLASS01_100_05.json,3.77357,0.950016,31,13
base\CLASS01_100_05.json,3.57863,0.949003,31,14
base\CLASS01_100_05.json,3.60708,0.948494,31,15
base\CLASS01_100_05.json,3.79153,0.9503,31,16
base\CLASS01_100_05.json,3.4329,0.948455,31,17
base\CLASS01_100_05.json,3.9099,0.950345,31,18
base\CLASS01_100_05.json,3.83128,0.948739,31,19
base\CLASS01_100_05.json,3.86552,0.949474,31,20
base\CLASS01_100_05.json,3.75716,0.948945,31,21
base\CLASS01_100_05.json,3.31262,0.949423,31,22
base\CLASS01_100_05.json,3.87988,0.950797,31,23
base\CLASS01_100_05.json,3.70411,0.949603,31,24
base\CLASS01_100_05.json,3.89041,0.949571,31,25
base\CLASS01_100_05.json,3.66555,0.950365,31,26
base\CLASS01_100_05.json,3.98328,0.949945,31,27
base\CLASS01_100_05.json,3.93241,0.949042,31,28
base\CLASS01_100_05.json,3.38495,0.950113,31,29
base\CLASS01_100_07.json,3.25824,0.960975,28,0
base\CLASS01_100_07.json,3.32111,0.963689,28,1
base\CLASS01_100_07.json,3.15136,0.958732,28,2
base\CLASS01_100_07.json,3.30611,0.957761,28,3
base\CLASS01_100_07.json,3.04571,0.958061,28,4
base\CLASS01_100_07.json,3.23974,0.958696,28,5
base\CLASS01_100_07.json,3.07049,0.958189,28,6
base\CLASS01_100_07.json,3.03768,0.958789,28,7
base\CLASS01_100_07.json,3.11834,0.959439,28,8
base\CLASS01_100_07.json,3.32414,0.960075,28,9
base\CLASS01_100_07.json,3.36577,0.959789,28,10
base\CLASS01_100_07.json,3.11201,0.959489,28,11
base\CLASS01_100_07.json,3.09056,0.959018,28,12
base\CLASS01_100_07.json,3.19907,0.960996,28,13
base\CLASS01_100_07.json,3.21519,0.960032,28,14
base\CLASS01_100_07.json,2.93367,0.957361,28,15
base\CLASS01_100_07.json,3.33268,0.958618,28,16
base\CLASS01_100_07.json,3.21247,0.960968,28,17
base\CLASS01_100_07.json,3.08615,0.958082,28,18
base\CLASS01_100_07.json,3.27778,0.959625,28,19
base\CLASS01_100_07.json,3.33296,0.959104,28,20
base\CLASS01_100_07.json,3.24236,0.957696,28,21
base\CLASS01_100_07.json,3.15629,0.957368,28,22
base\CLASS01_100_07.json,3.0669,0.959225,28,23
base\CLASS01_100_07.json,3.09777,0.959204,28,24
base\CLASS01_100_07.json,3.13944,0.958704,28,25
base\CLASS01_100_07.json,3.0444,0.959396,28,26
base\CLASS01_100_07.json,3.22965,0.958846,28,27
base\CLASS01_100_07.json,3.38367,0.959011,28,28
base\CLASS01_100_07.json,3.30306,0.958689,28,29
base\CLASS01_100_09.json,3.69376,0.945665,31,0
base\CLASS01_100_09.json,3.53838,0.939116,31,1
base\CLASS01_100_09.json,3.52541,0.941142,31,2
base\CLASS01_100_09.json,3.61543,0.940858,31,3
base\CLASS01_100_09.json,3.61855,0.9402,31,4
base\CLASS01_100_09.json,3.65642,0.944116,31,5
base\CLASS01_100_09.json,3.82902,0.942974,31,6
base\CLASS01_100_09.json,3.63845,0.941103,31,7
base\CLASS01_100_09.json,3.62611,0.942981,31,8
base\CLASS01_100_09.json,3.53125,0.941419,31,9
base\CLASS01_100_09.json,3.6542,0.945632,31,10
base\CLASS01_100_09.json,3.6084,0.943606,31,11
base\CLASS01_100_09.json,3.58826,0.947032,31,12
base\CLASS01_100_09.json,3.97514,0.945703,31,13
base\CLASS01_100_09.json,3.48627,0.943013,31,14
base\CLASS01_100_09.json,3.62387,0.945697,31,15
base\CLASS01_100_09.json,3.95678,0.942884,31,16
base\CLASS01_100_09.json,3.92133,0.941465,31,17
base\CLASS01_100_09.json,3.59281,0.948548,31,18
base\CLASS01_100_09.json,3.6675,0.946497,31,19
base\CLASS01_100_09.json,3.53776,0.939123,31,20
base\CLASS01_100_09.json,3.72493,0.945703,31,21
base\CLASS01_100_09.json,3.36465,0.945697,31,22
base\CLASS01_100_09.json,3.81896,0.943748,31,23
base\CLASS01_100_09.json,3.45194,0.941903,31,24
base\CLASS01_100_09.json,3.84075,0.943794,31,25
base\CLASS01_100_09.json,3.61399,0.939135,31,26
base\CLASS01_100_09.json,3.62747,0.94629,31,27
base\CLASS01_100_09.json,3.71524,0.939342,31,28
base\CLASS01_100_09.json,3.57358,0.938826,31,29
