Instancia,Tempo(ms),Utilizacao,Recipientes,TamanhoDoBando,TamanhoDoVoo,IteracoesMaximas
CLASS04_020_07,342,0.29669808999999997,1,35,5,80
CLASS04_020_06,55,0.5783602499999999,1,35,5,80
CLASS02_100_02,9299,0.785679012345679,4,35,5,80
CLASS02_100_01,11852,0.7503361111111111,4,35,5,80
CLASS02_080_04,8876,0.8341744855967078,3,35,5,80
CLASS08_080_09,14200,0.9829313789473685,20,35,5,80
CLASS08_080_08,15135,0.9483731995,21,35,5,80
CLASS08_080_03,10171,0.9419309344444442,18,35,5,80
CLASS01_080_09,32753,0.9426172413793105,30,35,5,80
CLASS01_080_08,8446,0.9620592592592593,28,35,5,80
CLASS10_100_05,16454,0.9531656594117647,17,35,5,80
CLASS02_020_06,24,0.6687604938271605,1,35,5,80
CLASS02_020_05,5008,0.3520444444444445,1,35,5,80
CLASS02_020_04,510,0.2727160493827161,1,35,5,80
CLASS02_020_03,2465,0.5216049382716049,1,35,5,80
CLASS02_020_02,791,0.2314679012345679,1,35,5,80
CLASS02_020_01,523,0.5184,1,35,5,80
CLASS01_100_03,11811,0.9777555555555556,28,35,5,80
CLASS03_100_08,4369,0.9896364583333332,22,35,5,80
CLASS03_100_07,14450,0.9517709909539473,20,35,5,80
CLASS03_100_06,15136,0.9435438313802083,24,35,5,80
CLASS03_100_05,20120,0.9457536644345238,21,35,5,80
CLASS03_080_01,14216,0.9312195068359375,16,35,5,80
CLASS03_060_10,8596,0.94863734375,16,35,5,80
CLASS03_060_05,6283,0.9787432173295454,12,35,5,80
CLASS08_060_09,15183,0.956984777142857,14,35,5,80
CLASS08_060_08,14104,0.9618199693333334,16,35,5,80
CLASS08_060_07,8552,0.9174066838461539,13,35,5,80
CLASS05_080_10,16335,0.9509817328571427,21,35,5,80
CLASS05_080_09,17026,0.9579805579166666,25,35,5,80
CLASS04_100_05,10859,0.7635373225,4,35,5,80
CLASS09_060_03,5498,0.7820824929411766,35,35,5,80
CLASS09_060_02,12958,0.8539683737499999,35,35,5,80
CLASS09_060_01,7987,0.895194940645161,34,35,5,80
CLASS09_040_10,3961,0.7877788047826089,25,35,5,80
CLASS09_040_06,8939,0.7836347380952382,22,35,5,80
CLASS09_040_05,5584,0.878564898888889,18,35,5,80
CLASS09_040_02,1846,0.871430462,21,35,5,80
CLASS01_080_06,12325,0.94995,28,35,5,80
CLASS01_080_05,14032,0.9654916666666667,25,35,5,80
CLASS01_080_04,13188,0.9579920000000002,26,35,5,80
CLASS01_080_03,10489,0.9446166666666668,24,35,5,80
CLASS10_100_10,7230,0.9286824173333331,15,35,5,80
CLASS10_100_05,7306,0.9529074852941176,18,35,5,80
CLASS04_020_02,60,0.17380561,1,35,5,80
CLASS04_020_01,90,0.4721064100000001,1,35,5,80
CLASS03_100_10,10240,0.9521655924479165,25,35,5,80
CLASS03_100_09,19751,0.97198599609375,20,35,5,80
CLASS03_080_05,11085,0.9567098144531249,17,35,5,80
CLASS03_080_04,7592,0.9412324908088235,17,35,5,80
CLASS03_060_07,9510,0.9922033203125002,11,35,5,80
CLASS09_080_07,2701,0.7875017754545456,46,35,5,80
CLASS09_080_06,4608,0.8427305790243904,44,35,5,80
CLASS09_080_05,9580,0.8227021067441861,46,35,5,80
CLASS09_080_04,26627,0.8874612936842107,42,35,5,80
CLASS09_040_07,15833,0.8840392323529412,18,35,5,80
CLASS09_040_06,14719,0.7844589552380952,22,35,5,80
CLASS09_040_02,7294,0.8714218090000001,21,35,5,80
CLASS08_100_08,3218,0.9637398324,26,35,5,80
