Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS01_060_07.json,0.525659,0.868563,16,6
base\CLASS01_060_07.json,0.598901,0.8653,16,7
base\CLASS01_060_07.json,0.513855,0.795941,17,8
base\CLASS01_060_07.json,0.30608,0.803094,17,9
base\CLASS01_060_07.json,0.522519,0.800341,17,10
base\CLASS01_060_07.json,0.300291,0.797729,17,11
base\CLASS01_060_07.json,0.63323,0.802612,17,12
base\CLASS01_060_07.json,0.747101,0.802118,17,13
base\CLASS01_060_07.json,0.684331,0.8704,16,14
base\CLASS01_060_07.json,0.606495,0.865113,16,15
base\CLASS01_060_07.json,0.909285,0.869087,16,16
base\CLASS01_060_07.json,0.380534,0.862225,16,17
base\CLASS01_060_07.json,0.488679,0.867138,16,18
base\CLASS01_060_07.json,0.545025,0.867388,16,19
base\CLASS01_060_07.json,0.571501,0.861813,16,20
base\CLASS01_060_07.json,0.281373,0.8044,17,21
base\CLASS01_060_07.json,0.432165,0.873813,16,22
base\CLASS01_060_07.json,0.409396,0.866825,16,23
base\CLASS01_060_07.json,0.668636,0.86625,16,24
base\CLASS01_060_07.json,0.33333,0.873575,16,25
base\CLASS01_060_07.json,0.45953,0.872587,16,26
base\CLASS01_060_07.json,0.425007,0.864862,16,27
base\CLASS01_060_07.json,0.519085,0.882625,16,28
base\CLASS01_060_07.json,0.505326,0.86585,16,29
base\CLASS01_060_09.json,0.514665,0.860174,19,0
base\CLASS01_060_09.json,0.424567,0.857889,19,1
base\CLASS01_060_09.json,0.284058,0.801455,20,2
base\CLASS01_060_09.json,0.58125,0.793145,20,3
base\CLASS01_060_09.json,0.49475,0.850605,19,4
base\CLASS01_060_09.json,0.453873,0.794535,20,5
base\CLASS01_060_09.json,0.58848,0.845489,19,6
base\CLASS01_060_09.json,0.478773,0.8729,19,7
base\CLASS01_060_09.json,0.601765,0.858089,19,8
base\CLASS01_060_09.json,0.453903,0.855542,19,9
base\CLASS01_060_09.json,0.513738,0.802805,20,10
base\CLASS01_060_09.json,0.520826,0.8467,19,11
base\CLASS01_060_09.json,0.344471,0.851479,19,12
base\CLASS01_060_09.json,0.382154,0.848058,19,13
base\CLASS01_060_09.json,0.445824,0.852258,19,14
base\CLASS01_060_09.json,0.492616,0.787505,20,15
base\CLASS01_060_09.json,0.336588,0.860426,19,16
base\CLASS01_060_09.json,0.581757,0.860068,19,17
base\CLASS01_060_09.json,0.308511,0.848416,19,18
base\CLASS01_060_09.json,0.737796,0.848342,19,19
base\CLASS01_060_09.json,0.305963,0.848153,19,20
base\CLASS01_060_09.json,0.374217,0.845342,19,21
base\CLASS01_060_09.json,0.360338,0.848026,19,22
base\CLASS01_060_09.json,0.449781,0.873553,19,23
base\CLASS01_060_09.json,0.591199,0.849521,19,24
base\CLASS01_060_09.json,1.12864,0.853805,19,25
base\CLASS01_060_09.json,0.549552,0.855079,19,26
base\CLASS01_060_09.json,0.286695,0.785415,20,27
base\CLASS01_060_09.json,0.814862,0.853689,19,28
base\CLASS01_060_09.json,0.438481,0.791445,20,29
base\CLASS01_100_01.json,1.48192,0.89541,29,0
base\CLASS01_100_01.json,1.07037,0.841037,30,1
base\CLASS01_100_01.json,1.98251,0.893417,29,2
base\CLASS01_100_01.json,0.847567,0.857623,30,3
base\CLASS01_100_01.json,0.707174,0.848557,30,4
base\CLASS01_100_01.json,1.05396,0.842177,30,5
base\CLASS01_100_01.json,0.890264,0.8949,29,6
base\CLASS01_100_01.json,1.08196,0.895403,29,7
base\CLASS01_100_01.json,1.08759,0.849043,30,8
base\CLASS01_100_01.json,1.06283,0.843043,30,9
base\CLASS01_100_01.json,0.933272,0.851763,30,10
base\CLASS01_100_01.json,1.1089,0.845063,30,11
base\CLASS01_100_01.json,1.40434,0.894445,29,12
base\CLASS01_100_01.json,0.407175,0.851837,30,13
base\CLASS01_100_01.json,0.85923,0.896941,29,14
base\CLASS01_100_01.json,0.867451,0.851783,30,15
base\CLASS01_100_01.json,1.39555,0.895328,29,16
base\CLASS01_100_01.json,0.712685,0.896693,29,17
base\CLASS01_100_01.json,1.42534,0.897521,29,18
base\CLASS01_100_01.json,1.00099,0.893203,29,19
base\CLASS01_100_01.json,0.898433,0.8941,29,20
base\CLASS01_100_01.json,1.34281,0.900024,29,21
base\CLASS01_100_01.json,0.882408,0.846977,30,22
base\CLASS01_100_01.json,1.08516,0.848877,30,23
base\CLASS01_100_01.json,0.43844,0.823248,31,24
base\CLASS01_100_01.json,1.24377,0.847477,30,25
base\CLASS01_100_01.json,1.04499,0.857977,30,26
base\CLASS01_100_01.json,0.717549,0.852183,30,27
base\CLASS01_100_01.json,0.99227,0.850737,30,28
base\CLASS01_100_01.json,0.888812,0.897721,29,29
base\CLASS01_100_03.json,0.925669,0.860076,29,0
base\CLASS01_100_03.json,1.19408,0.8175,30,1
base\CLASS01_100_03.json,0.805319,0.859276,29,2
base\CLASS01_100_03.json,1.04484,0.817233,30,3
base\CLASS01_100_03.json,1.40828,0.81886,30,4
base\CLASS01_100_03.json,0.496917,0.814647,30,5
base\CLASS01_100_03.json,1.77749,0.859628,29,6
base\CLASS01_100_03.json,0.955352,0.825507,30,7
base\CLASS01_100_03.json,1.28752,0.818873,30,8
base\CLASS01_100_03.json,1.15282,0.860807,29,9
base\CLASS01_100_03.json,1.43375,0.864021,29,10
base\CLASS01_100_03.json,1.92706,0.81628,30,11
base\CLASS01_100_03.json,1.41504,0.824953,30,12
base\CLASS01_100_03.json,1.72521,0.86029,29,13
base\CLASS01_100_03.json,1.38334,0.860048,29,14
base\CLASS01_100_03.json,1.23093,0.858931,29,15
base\CLASS01_100_03.json,0.669555,0.795039,31,16
base\CLASS01_100_03.json,1.25832,0.863855,29,17
base\CLASS01_100_03.json,1.41002,0.82224,30,18
base\CLASS01_100_03.json,1.38442,0.859428,29,19
base\CLASS01_100_03.json,1.1254,0.860255,29,20
base\CLASS01_100_03.json,1.19302,0.81722,30,21
base\CLASS01_100_03.json,1.26503,0.8636,29,22
base\CLASS01_100_03.json,2.23431,0.857897,29,23
base\CLASS01_100_03.json,1.06278,0.827427,30,24
base\CLASS01_100_03.json,1.88615,0.861372,29,25
base\CLASS01_100_03.json,1.29498,0.859993,29,26
base\CLASS01_100_03.json,0.870399,0.8212,30,27
base\CLASS01_100_03.json,1.06234,0.864966,29,28
base\CLASS01_100_03.json,0.730545,0.794361,31,29
base\CLASS01_100_05.json,1.30716,0.853882,33,0
base\CLASS01_100_05.json,1.57689,0.812926,34,1
base\CLASS01_100_05.json,1.02116,0.80655,34,2
base\CLASS01_100_05.json,0.899111,0.813632,34,3
base\CLASS01_100_05.json,1.37879,0.893178,32,4
base\CLASS01_100_05.json,1.17035,0.818991,34,5
base\CLASS01_100_05.json,1.44685,0.847258,33,6
base\CLASS01_100_05.json,1.07064,0.855342,33,7
base\CLASS01_100_05.json,1.01511,0.854597,33,8
base\CLASS01_100_05.json,2.36012,0.848142,33,9
base\CLASS01_100_05.json,0.802365,0.807115,34,10
base\CLASS01_100_05.json,0.865934,0.813991,34,11
base\CLASS01_100_05.json,1.1497,0.808668,34,12
base\CLASS01_100_05.json,0.769395,0.852306,33,13
base\CLASS01_100_05.json,0.721254,0.810726,34,14
base\CLASS01_100_05.json,1.83249,0.852779,33,15
base\CLASS01_100_05.json,0.624018,0.806915,34,16
base\CLASS01_100_05.json,0.73037,0.828121,34,17
base\CLASS01_100_05.json,1.77837,0.854185,33,18
base\CLASS01_100_05.json,1.32299,0.856039,33,19
base\CLASS01_100_05.json,1.31346,0.854827,33,20
base\CLASS01_100_05.json,1.69917,0.856633,33,21
base\CLASS01_100_05.json,2.0153,0.850391,33,22
base\CLASS01_100_05.json,1.0322,0.855209,33,23
base\CLASS01_100_05.json,1.4942,0.803085,34,24
base\CLASS01_100_05.json,1.14232,0.848445,33,25
base\CLASS01_100_05.json,1.63699,0.895216,32,26
base\CLASS01_100_05.json,1.26159,0.848742,33,27
base\CLASS01_100_05.json,0.674887,0.811291,34,28
base\CLASS01_100_05.json,1.47855,0.852827,33,29
base\CLASS01_100_07.json,0.875912,0.897286,29,0
base\CLASS01_100_07.json,0.857618,0.85711,30,1
base\CLASS01_100_07.json,1.02851,0.855503,30,2
base\CLASS01_100_07.json,1.74112,0.901486,29,3
base\CLASS01_100_07.json,0.677136,0.845517,30,4
base\CLASS01_100_07.json,0.755097,0.85127,30,5
base\CLASS01_100_07.json,0.569937,0.898459,29,6
base\CLASS01_100_07.json,0.620798,0.84965,30,7
base\CLASS01_100_07.json,1.40779,0.86767,30,8
base\CLASS01_100_07.json,0.960801,0.896507,29,9
base\CLASS01_100_07.json,1.29335,0.897376,29,10
base\CLASS01_100_07.json,0.629621,0.858917,30,11
base\CLASS01_100_07.json,0.819409,0.846983,30,12
base\CLASS01_100_07.json,0.719703,0.86033,30,13
base\CLASS01_100_07.json,0.791983,0.859183,30,14
base\CLASS01_100_07.json,2.17546,0.89659,29,15
base\CLASS01_100_07.json,0.981031,0.84559,30,16
base\CLASS01_100_07.json,0.811566,0.84773,30,17
base\CLASS01_100_07.json,0.878554,0.901493,29,18
base\CLASS01_100_07.json,0.982879,0.858457,30,19
base\CLASS01_100_07.json,1.37569,0.85393,30,20
base\CLASS01_100_07.json,0.914092,0.896507,29,21
base\CLASS01_100_07.json,0.912085,0.850123,30,22
base\CLASS01_100_07.json,0.715393,0.898624,29,23
base\CLASS01_100_07.json,1.05617,0.85267,30,24
base\CLASS01_100_07.json,0.68158,0.850083,30,25
base\CLASS01_100_07.json,0.848418,0.896293,29,26
base\CLASS01_100_07.json,1.27404,0.845523,30,27
base\CLASS01_100_07.json,1.01694,0.8953,29,28
base\CLASS01_100_07.json,1.86606,0.899603,29,29
base\CLASS01_100_09.json,0.912546,0.840927,33,0
base\CLASS01_100_09.json,2.11414,0.844927,33,1
base\CLASS01_100_09.json,1.79031,0.878806,32,2
base\CLASS01_100_09.json,1.35651,0.8762,32,3
base\CLASS01_100_09.json,1.4881,0.841242,33,4
base\CLASS01_100_09.json,0.893591,0.837236,33,5
base\CLASS01_100_09.json,0.941815,0.843503,33,6
base\CLASS01_100_09.json,0.806916,0.843812,33,7
base\CLASS01_100_09.json,0.973438,0.879725,32,8
base\CLASS01_100_09.json,1.11617,0.836158,33,9
base\CLASS01_100_09.json,2.08804,0.838448,33,10
base\CLASS01_100_09.json,1.10381,0.847691,33,11
base\CLASS01_100_09.json,1.15465,0.877581,32,12
base\CLASS01_100_09.json,1.58396,0.877244,32,13
base\CLASS01_100_09.json,0.781771,0.836861,33,14
base\CLASS01_100_09.json,0.941153,0.844333,33,15
base\CLASS01_100_09.json,1.42379,0.841248,33,16
base\CLASS01_100_09.json,0.869199,0.834461,33,17
base\CLASS01_100_09.json,0.85641,0.837679,33,18
base\CLASS01_100_09.json,0.630126,0.832388,33,19
base\CLASS01_100_09.json,1.28399,0.879519,32,20
base\CLASS01_100_09.json,0.714983,0.792441,34,21
base\CLASS01_100_09.json,0.824198,0.840782,33,22
base\CLASS01_100_09.json,1.40354,0.878362,32,23
base\CLASS01_100_09.json,1.16805,0.836576,33,24
base\CLASS01_100_09.json,1.31623,0.877938,32,25
base\CLASS01_100_09.json,0.571969,0.834521,33,26
base\CLASS01_100_09.json,0.731894,0.841939,33,27
base\CLASS01_100_09.json,1.27398,0.83537,33,28
base\CLASS01_100_09.json,0.635476,0.812012,34,29
base\CLASS03_020_01.json,0.284495,0.542785,6,0
base\CLASS03_020_01.json,0.353985,0.560021,6,1
base\CLASS03_020_01.json,0.184705,0.540081,6,2
base\CLASS03_020_01.json,0.250318,0.544986,6,3
base\CLASS03_020_01.json,0.11898,0.537303,6,4
base\CLASS03_020_01.json,0.300263,0.528224,6,5
base\CLASS03_020_01.json,0.427293,0.563075,6,6
base\CLASS03_020_01.json,0.195193,0.563355,6,7
base\CLASS03_020_01.json,0.219025,0.524201,6,8
base\CLASS03_020_01.json,0.137069,0.528074,6,9
base\CLASS03_020_01.json,0.16739,0.528003,6,10
base\CLASS03_020_01.json,0.259288,0.562842,6,11
base\CLASS03_020_01.json,0.612684,0.553498,6,12
base\CLASS03_020_01.json,0.197283,0.565346,6,13
base\CLASS03_020_01.json,0.134767,0.56381,6,14
base\CLASS03_020_01.json,0.118714,0.565219,6,15
base\CLASS03_020_01.json,0.190488,0.528957,6,16
base\CLASS03_020_01.json,0.24195,0.552081,6,17
base\CLASS03_020_01.json,0.148566,0.529207,6,18
base\CLASS03_020_01.json,0.221984,0.565448,6,19
base\CLASS03_020_01.json,0.226777,0.550328,6,20
base\CLASS03_020_01.json,0.28559,0.556756,6,21
base\CLASS03_020_01.json,0.144866,0.556651,6,22
base\CLASS03_020_01.json,0.116128,0.55749,6,23
base\CLASS03_020_01.json,0.123982,0.556669,6,24
base\CLASS03_020_01.json,5.03463,0.615818,5,25
base\CLASS03_020_01.json,0.246454,0.527981,6,26
base\CLASS03_020_01.json,0.209844,0.540663,6,27
base\CLASS03_020_01.json,0.122226,0.53856,6,28
base\CLASS03_020_01.json,0.11212,0.56356,6,29
base\CLASS03_020_03.json,0.204908,0.550887,6,0
base\CLASS03_020_03.json,0.156699,0.550581,6,1
base\CLASS03_020_03.json,0.128838,0.551888,6,2
base\CLASS03_020_03.json,0.113921,0.551117,6,3
base\CLASS03_020_03.json,0.152406,0.557898,6,4
base\CLASS03_020_03.json,0.246286,0.595551,6,5
base\CLASS03_020_03.json,0.227842,0.550934,6,6
base\CLASS03_020_03.json,0.171643,0.573497,6,7
base\CLASS03_020_03.json,0.123337,0.448919,7,8
base\CLASS03_020_03.json,0.115947,0.55818,6,9
base\CLASS03_020_03.json,0.12857,0.567025,6,10
base\CLASS03_020_03.json,0.339117,0.558901,6,11
base\CLASS03_020_03.json,0.109113,0.54879,6,12
