Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS05_060_07.json,1.05099,0.641829,16,19
base\CLASS05_060_07.json,1.31817,0.725011,15,20
base\CLASS05_060_07.json,1.72104,0.727377,15,21
base\CLASS05_060_07.json,1.33532,0.708383,15,22
base\CLASS05_060_07.json,0.843892,0.703485,15,23
base\CLASS05_060_07.json,1.06977,0.643211,16,24
base\CLASS05_060_07.json,0.850782,0.713059,15,25
base\CLASS05_060_07.json,0.676741,0.63794,16,26
base\CLASS05_060_07.json,0.904299,0.717212,15,27
base\CLASS05_060_07.json,1.47893,0.703573,15,28
base\CLASS05_060_07.json,0.974364,0.699069,15,29
base\CLASS05_060_09.json,0.427375,0.681095,18,0
base\CLASS05_060_09.json,0.866973,0.746785,17,1
base\CLASS05_060_09.json,1.37307,0.679252,18,2
base\CLASS05_060_09.json,0.513316,0.706104,17,3
base\CLASS05_060_09.json,1.51037,0.746222,17,4
base\CLASS05_060_09.json,1.54331,0.754986,17,5
base\CLASS05_060_09.json,0.734196,0.745008,17,6
base\CLASS05_060_09.json,0.949908,0.683207,18,7
base\CLASS05_060_09.json,0.988523,0.746239,17,8
base\CLASS05_060_09.json,0.873776,0.74889,17,9
base\CLASS05_060_09.json,0.500286,0.738161,17,10
base\CLASS05_060_09.json,1.11029,0.746446,17,11
base\CLASS05_060_09.json,1.33056,0.691794,18,12
base\CLASS05_060_09.json,1.33593,0.74749,17,13
base\CLASS05_060_09.json,0.928977,0.750859,17,14
base\CLASS05_060_09.json,0.621183,0.739402,17,15
base\CLASS05_060_09.json,0.661383,0.688533,18,16
base\CLASS05_060_09.json,0.869576,0.683664,18,17
base\CLASS05_060_09.json,1.51144,0.749703,17,18
base\CLASS05_060_09.json,0.578476,0.691081,18,19
base\CLASS05_060_09.json,1.09406,0.747811,17,20
base\CLASS05_060_09.json,0.874988,0.743288,17,21
base\CLASS05_060_09.json,0.869567,0.740846,17,22
base\CLASS05_060_09.json,1.24568,0.74552,17,23
base\CLASS05_060_09.json,0.801307,0.746525,17,24
base\CLASS05_060_09.json,0.838644,0.692932,18,25
base\CLASS05_060_09.json,0.865992,0.751122,17,26
base\CLASS05_060_09.json,0.418816,0.684071,18,27
base\CLASS05_060_09.json,1.08248,0.687418,18,28
base\CLASS05_060_09.json,0.792956,0.740012,17,29
base\CLASS05_100_01.json,3.27119,0.761646,26,0
base\CLASS05_100_01.json,2.17961,0.766074,26,1
base\CLASS05_100_01.json,2.7585,0.765155,26,2
base\CLASS05_100_01.json,2.24869,0.765648,26,3
base\CLASS05_100_01.json,2.12774,0.763653,26,4
base\CLASS05_100_01.json,1.69322,0.761313,26,5
base\CLASS05_100_01.json,1.90504,0.763219,26,6
base\CLASS05_100_01.json,1.48555,0.725267,27,7
base\CLASS05_100_01.json,1.99383,0.740395,26,8
base\CLASS05_100_01.json,2.58289,0.725713,27,9
base\CLASS05_100_01.json,1.69374,0.761799,26,10
base\CLASS05_100_01.json,3.24488,0.761198,26,11
base\CLASS05_100_01.json,2.71869,0.771121,26,12
base\CLASS05_100_01.json,1.66453,0.762845,26,13
base\CLASS05_100_01.json,1.40786,0.722856,27,14
base\CLASS05_100_01.json,1.94117,0.724328,27,15
base\CLASS05_100_01.json,2.04667,0.761915,26,16
base\CLASS05_100_01.json,2.33127,0.780041,26,17
base\CLASS05_100_01.json,3.46077,0.767578,26,18
base\CLASS05_100_01.json,1.2023,0.720485,27,19
base\CLASS05_100_01.json,2.62739,0.764794,26,20
base\CLASS05_100_01.json,1.60828,0.759028,26,21
base\CLASS05_100_01.json,3.12812,0.761783,26,22
base\CLASS05_100_01.json,3.27225,0.76924,26,23
base\CLASS05_100_01.json,2.11209,0.767541,26,24
base\CLASS05_100_01.json,1.09731,0.725166,27,25
base\CLASS05_100_01.json,2.58981,0.767416,26,26
base\CLASS05_100_01.json,2.8654,0.761895,26,27
base\CLASS05_100_01.json,2.85387,0.762507,26,28
base\CLASS05_100_01.json,3.66859,0.763432,26,29
base\CLASS05_100_03.json,1.61525,0.744032,26,0
base\CLASS05_100_03.json,1.51001,0.738555,26,1
base\CLASS05_100_03.json,1.47533,0.740155,26,2
base\CLASS05_100_03.json,2.78936,0.744198,26,3
base\CLASS05_100_03.json,3.34967,0.748008,26,4
base\CLASS05_100_03.json,1.88136,0.738407,26,5
base\CLASS05_100_03.json,2.00231,0.745611,26,6
base\CLASS05_100_03.json,3.4084,0.740611,26,7
base\CLASS05_100_03.json,2.49122,0.749304,26,8
base\CLASS05_100_03.json,2.37227,0.74475,26,9
base\CLASS05_100_03.json,3.15129,0.741434,26,10
base\CLASS05_100_03.json,2.12142,0.754409,26,11
base\CLASS05_100_03.json,4.5475,0.746765,26,12
base\CLASS05_100_03.json,1.78103,0.741901,26,13
base\CLASS05_100_03.json,1.12498,0.739749,26,14
base\CLASS05_100_03.json,1.77962,0.744731,26,15
base\CLASS05_100_03.json,3.759,0.743167,26,16
base\CLASS05_100_03.json,4.41474,0.745278,26,17
base\CLASS05_100_03.json,2.36534,0.74149,26,18
base\CLASS05_100_03.json,3.50561,0.749023,26,19
base\CLASS05_100_03.json,3.6431,0.745224,26,20
base\CLASS05_100_03.json,4.36523,0.794341,25,21
base\CLASS05_100_03.json,2.04966,0.740702,26,22
base\CLASS05_100_03.json,3.63289,0.792874,25,23
base\CLASS05_100_03.json,1.71614,0.698109,27,24
base\CLASS05_100_03.json,4.48704,0.794859,25,25
base\CLASS05_100_03.json,2.15627,0.696367,27,26
base\CLASS05_100_03.json,1.4184,0.7202,26,27
base\CLASS05_100_03.json,3.45564,0.748093,26,28
base\CLASS05_100_03.json,2.32176,0.744218,26,29
base\CLASS05_100_05.json,3.45485,0.695678,31,0
