Porcentagem De Utilizacao,0.81402
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,6
MaxIteration,3
Tempo Decorrido (segundos),0.162443
Porcentagem De Utilizacao,0.81654
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,6
MaxIteration,4
Tempo Decorrido (segundos),0.21035
Porcentagem De Utilizacao,0.8141
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,7
MaxIteration,0
Tempo Decorrido (segundos),1.85E-05
Porcentagem De Utilizacao,0.81402
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,7
MaxIteration,1
Tempo Decorrido (segundos),0.0539599
Porcentagem De Utilizacao,0.81402
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,7
MaxIteration,2
Tempo Decorrido (segundos),0.107917
Porcentagem De Utilizacao,0.81402
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,7
MaxIteration,3
Tempo Decorrido (segundos),0.155088
Porcentagem De Utilizacao,0.81158
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,7
MaxIteration,4
Tempo Decorrido (segundos),0.214429
Porcentagem De Utilizacao,0.80938
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,8
MaxIteration,0
Tempo Decorrido (segundos),2.16E-05
Porcentagem De Utilizacao,0.80206
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,8
MaxIteration,1
Tempo Decorrido (segundos),0.0526588
Porcentagem De Utilizacao,0.81402
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,8
MaxIteration,2
Tempo Decorrido (segundos),0.113639
Porcentagem De Utilizacao,0.81402
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,8
MaxIteration,3
Tempo Decorrido (segundos),0.156027
Porcentagem De Utilizacao,0.80666
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,8
MaxIteration,4
Tempo Decorrido (segundos),0.212088
Porcentagem De Utilizacao,0.80682
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,9
MaxIteration,0
Tempo Decorrido (segundos),2.08E-05
Porcentagem De Utilizacao,0.80262
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,9
MaxIteration,1
Tempo Decorrido (segundos),0.0541261
Porcentagem De Utilizacao,0.8141
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,9
MaxIteration,2
Tempo Decorrido (segundos),0.1114
Porcentagem De Utilizacao,0.81658
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,9
MaxIteration,3
Tempo Decorrido (segundos),0.162414
Porcentagem De Utilizacao,0.80906
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,9
MaxIteration,4
Tempo Decorrido (segundos),0.217685
Porcentagem De Utilizacao,0.81914
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,0
MaxIteration,0
Tempo Decorrido (segundos),1.94E-05
Porcentagem De Utilizacao,0.872171
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,0
MaxIteration,1
Tempo Decorrido (segundos),0.0742712
Porcentagem De Utilizacao,0.876229
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,0
MaxIteration,2
Tempo Decorrido (segundos),0.152955
Porcentagem De Utilizacao,0.881657
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,0
MaxIteration,3
Tempo Decorrido (segundos),0.228638
Porcentagem De Utilizacao,0.875343
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,0
MaxIteration,4
Tempo Decorrido (segundos),0.299968
Porcentagem De Utilizacao,0.878229
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,1
MaxIteration,0
Tempo Decorrido (segundos),1.88E-05
Porcentagem De Utilizacao,0.875257
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,1
MaxIteration,1
Tempo Decorrido (segundos),0.0743855
Porcentagem De Utilizacao,0.881429
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,1
MaxIteration,2
Tempo Decorrido (segundos),0.149866
Porcentagem De Utilizacao,0.875286
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,1
MaxIteration,3
Tempo Decorrido (segundos),0.227919
Porcentagem De Utilizacao,0.887457
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,1
MaxIteration,4
Tempo Decorrido (segundos),0.309991
Porcentagem De Utilizacao,0.880657
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,2
MaxIteration,0
Tempo Decorrido (segundos),1.80E-05
Porcentagem De Utilizacao,0.871
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,2
MaxIteration,1
Tempo Decorrido (segundos),0.078905
Porcentagem De Utilizacao,0.877257
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,2
MaxIteration,2
Tempo Decorrido (segundos),0.157581
Porcentagem De Utilizacao,0.876257
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,2
MaxIteration,3
Tempo Decorrido (segundos),0.225844
Porcentagem De Utilizacao,0.874343
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,2
MaxIteration,4
Tempo Decorrido (segundos),0.305712
Porcentagem De Utilizacao,0.880429
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,3
MaxIteration,0
Tempo Decorrido (segundos),2.10E-05
Porcentagem De Utilizacao,0.8784
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,3
MaxIteration,1
Tempo Decorrido (segundos),0.0735729
Porcentagem De Utilizacao,0.877429
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,3
MaxIteration,2
Tempo Decorrido (segundos),0.14736
Porcentagem De Utilizacao,0.878314
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,3
MaxIteration,3
Tempo Decorrido (segundos),0.227675
Porcentagem De Utilizacao,0.8804
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,3
MaxIteration,4
Tempo Decorrido (segundos),0.309247
Porcentagem De Utilizacao,0.880514
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,4
MaxIteration,0
Tempo Decorrido (segundos),1.86E-05
Porcentagem De Utilizacao,0.876314
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,4
MaxIteration,1
Tempo Decorrido (segundos),0.0755899
Porcentagem De Utilizacao,0.876171
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,4
MaxIteration,2
Tempo Decorrido (segundos),0.150094
Porcentagem De Utilizacao,0.879314
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,4
MaxIteration,3
Tempo Decorrido (segundos),0.225469
Porcentagem De Utilizacao,0.8816
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,4
MaxIteration,4
Tempo Decorrido (segundos),0.309403
Porcentagem De Utilizacao,0.880943
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,5
MaxIteration,0
Tempo Decorrido (segundos),1.74E-05
Porcentagem De Utilizacao,0.875343
Quantidade de Recipientes,7
Busca do Corvo,
